iter	Passed	Remaining
0	14	14534
1	18	9300
2	22	7505
3	28	6974
4	32	6432
5	37	6249
6	41	5885
7	46	5729
8	49	5434
9	52	5215
10	56	5074
11	62	5160
12	66	5055
13	70	4930
14	72	4768
15	76	4698
16	82	4784
17	86	4705
18	89	4641
19	93	4574
20	99	4640
21	103	4609
22	107	4571
23	114	4665
24	118	4636
25	122	4597
26	128	4613
27	132	4590
28	136	4566
29	140	4546
30	146	4581
31	150	4550
32	153	4495
33	156	4456
34	160	4428
35	164	4400
36	166	4345
37	169	4301
38	175	4316
39	179	4303
40	185	4333
41	190	4334
42	195	4353
43	198	4322
44	201	4273
45	204	4231
46	208	4224
47	211	4186
48	213	4146
49	216	4113
50	219	4075
51	221	4046
52	226	4041
53	229	4024
54	232	3994
55	234	3955
56	238	3950
57	242	3932
58	244	3903
59	247	3876
60	250	3850
61	253	3838
62	257	3834
63	260	3816
64	264	3800
65	266	3770
66	268	3741
67	272	3732
68	275	3723
69	278	3701
70	281	3688
71	284	3664
72	287	3656
73	291	3652
74	296	3659
75	299	3645
76	303	3635
77	307	3630
78	310	3620
79	313	3599
80	315	3580
81	317	3559
82	322	3568
83	328	3577
84	331	3569
85	334	3552
86	337	3546
87	341	3543
88	345	3536
89	347	3516
90	350	3498
91	353	3489
92	357	3486
93	360	3476
94	363	3460
95	365	3444
96	368	3432
97	372	3426
98	375	3414
99	378	3407
100	382	3402
101	386	3399
102	389	3388
103	391	3373
104	393	3354
105	396	3341
106	399	3329
107	402	3323
108	405	3312
109	408	3302
110	410	3290
111	413	3278
112	417	3275
113	421	3278
114	425	3271
115	427	3260
116	430	3251
117	434	3248
118	437	3237
119	440	3228
120	442	3216
121	444	3202
122	447	3190
123	451	3190
124	454	3180
125	457	3171
126	459	3157
127	461	3145
128	465	3141
129	468	3134
130	471	3125
131	473	3115
132	476	3104
133	479	3096
134	482	3092
135	485	3087
136	489	3085
137	492	3075
138	494	3065
139	498	3062
140	501	3054
141	503	3043
142	505	3032
143	508	3021
144	510	3010
145	513	3003
146	517	3001
147	521	3001
148	524	2993
149	526	2983
150	529	2977
151	533	2974
152	535	2966
153	538	2959
154	541	2954
155	544	2946
156	548	2943
157	551	2938
158	554	2932
159	556	2922
160	558	2912
161	563	2916
162	566	2910
163	570	2908
164	573	2901
165	575	2893
166	580	2893
167	583	2888
168	585	2878
169	587	2869
170	589	2859
171	592	2850
172	595	2848
173	598	2841
174	603	2845
175	608	2847
176	612	2850
177	617	2853
178	621	2852
179	624	2846
180	628	2845
181	631	2840
182	634	2831
183	636	2822
184	638	2813
185	640	2804
186	643	2799
187	646	2794
188	650	2792
189	654	2788
190	657	2783
191	661	2782
192	664	2777
193	667	2771
194	670	2766
195	673	2761
196	676	2757
197	680	2757
198	683	2752
199	686	2746
200	689	2741
201	693	2737
202	695	2732
203	698	2725
204	701	2720
205	704	2715
206	708	2712
207	711	2707
208	713	2701
209	716	2695
210	719	2691
211	723	2689
212	726	2685
213	729	2678
214	735	2685
215	739	2684
216	744	2686
217	747	2679
218	751	2679
219	756	2681
220	759	2677
221	761	2670
222	765	2665
223	769	2665
224	774	2666
225	777	2661
226	779	2655
227	783	2653
228	787	2651
229	790	2646
230	793	2640
231	796	2636
232	800	2634
233	803	2630
234	809	2634
235	813	2633
236	818	2635
237	822	2634
238	826	2631
239	829	2628
240	833	2626
241	837	2622
242	840	2617
243	843	2612
244	846	2608
245	849	2603
246	853	2601
247	856	2596
248	859	2591
249	864	2593
250	867	2589
251	870	2583
252	873	2578
253	875	2572
254	879	2570
255	883	2568
256	886	2563
257	890	2560
258	893	2556
259	897	2553
260	899	2548
261	902	2541
262	904	2535
263	906	2528
264	909	2523
265	913	2521
266	916	2517
267	920	2513
268	923	2509
269	927	2507
